"Abrangência";"Partido";"Eleitores";"%"
"RJ";"PODE";"15.655";"0,093"
"RJ";"PP";"61.799";"0,368"
"RJ";"PPL";"4.293";"0,026"
"RJ";"PPS";"22.633";"0,135"
"RJ";"PR";"58.689";"0,350"
"RJ";"PRB";"19.259";"0,115"
"RJ";"PROS";"4.800";"0,029"
"RJ";"PRP";"15.399";"0,092"
"RJ";"PRTB";"9.795";"0,058"
"RJ";"PSB";"44.299";"0,264"
"RJ";"PSC";"26.333";"0,157"
"RJ";"PSD";"6.389";"0,038"
"RJ";"PSDB";"97.673";"0,582"
"RJ";"PSL";"11.659";"0,069"
"RJ";"PSOL";"19.577";"0,117"
"RJ";"PSTU";"1.825";"0,011"
"RJ";"PT";"121.756";"0,726"
"RJ";"PTB";"53.830";"0,321"
"RJ";"PTC";"17.122";"0,102"
"RJ";"PV";"23.090";"0,138"
"RJ";"REDE";"2.193";"0,013"
"RJ";"SD";"8.303";"0,049"
"RN";"AVANTE";"2.908";"0,017"
"RN";"DC";"3.366";"0,020"
"RN";"DEM";"25.769";"0,154"
"RN";"MDB";"39.585";"0,236"
"RN";"NOVO";"218";"0,001"
"RN";"PATRI";"2.317";"0,014"
"RN";"PC DO B";"8.214";"0,049"
"RN";"PCB";"169";"0,001"
"RN";"PCO";"23";"0,000"
"RN";"PDT";"12.371";"0,074"
"RN";"PHS";"6.444";"0,038"
"RN";"PMB";"1.503";"0,009"
"RN";"PMN";"6.496";"0,039"
"RN";"PODE";"3.326";"0,020"
"RN";"PP";"20.397";"0,122"
"RN";"PPL";"194";"0,001"
"RN";"PPS";"8.395";"0,050"
"RN";"PR";"17.452";"0,104"
"RN";"PRB";"7.701";"0,046"
"RN";"PROS";"1.774";"0,011"
"RN";"PRP";"2.157";"0,013"
"RN";"PRTB";"801";"0,005"
"RN";"PSB";"14.083";"0,084"
"RN";"PSC";"4.202";"0,025"
"RN";"PSD";"11.453";"0,068"
"RN";"PSDB";"20.198";"0,120"
"RN";"PSL";"2.954";"0,018"
"RN";"PSOL";"3.915";"0,023"
"RN";"PSTU";"1.061";"0,006"
"RN";"PT";"13.011";"0,078"
"RN";"PTB";"13.492";"0,080"
"RN";"PTC";"1.860";"0,011"
"RN";"PV";"7.150";"0,043"
"RN";"REDE";"280";"0,002"
"RN";"SD";"5.371";"0,032"
